"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_6__stock_fund_lend__winsor_top2__impute0","denom_6","stock_fund_lend","winsor_top2","unweighted","(4)","Yes",-0.002,-0.000784089217284509,0.00162714676202938,0.629898073466608,15598,0.00121591078271549,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",1,0,1,0,0,0.00241836336249836,0.00121591078271549,15598,13
"denom_6__stock_fund_lend__all__impute0","denom_6","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00179755223411838,0.00166121957895818,0.279239127387013,15598,0.00120244776588162,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",1,0,1,0,0,0.00242160015511574,0.00121915238923412,15598,14
"denom_6__stock_fund_lend__all__impute0","denom_6","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.000780847610765879,0.00164146519669334,0.634293649520896,15598,0.00121915238923412,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",1,0,1,0,0,0.00242160015511574,0.00121915238923412,15598,14
"denom_6__stock_fund_lend__winsor_top1__impute0","denom_6","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00179755223411838,0.00166121957895818,0.279239127387013,15598,0.00120244776588162,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",1,0,1,0,0,0.00242160015511574,0.00121915238923412,15598,15
"denom_6__stock_fund_lend__winsor_top1__impute0","denom_6","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.000780847610765879,0.00164146519669334,0.634293649520896,15598,0.00121915238923412,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",1,0,1,0,0,0.00242160015511574,0.00121915238923412,15598,15
"denom_7__stock_fund_lend__all__impute0","denom_7","stock_fund_lend","all","unweighted","(3)","No",-0.003,-0.00178941790627298,0.00166876539320712,0.283601690182779,15598,0.00121058209372702,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,1,1,0,0,0.00243859357637419,0.00122801148264717,15598,16
"denom_7__stock_fund_lend__all__impute0","denom_7","stock_fund_lend","all","unweighted","(4)","Yes",-0.002,-0.00077198851735283,0.00164862319508133,0.639603384839276,15598,0.00122801148264717,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,1,1,0,0,0.00243859357637419,0.00122801148264717,15598,16
"denom_7__stock_fund_lend__winsor_top1__impute0","denom_7","stock_fund_lend","winsor_top1","unweighted","(3)","No",-0.003,-0.00178941790627298,0.00166876539320712,0.283601690182779,15598,0.00121058209372702,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,1,1,0,0,0.00243859357637419,0.00122801148264717,15598,17
"denom_7__stock_fund_lend__winsor_top1__impute0","denom_7","stock_fund_lend","winsor_top1","unweighted","(4)","Yes",-0.002,-0.00077198851735283,0.00164862319508133,0.639603384839276,15598,0.00122801148264717,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,1,1,0,0,0.00243859357637419,0.00122801148264717,15598,17
"denom_7__stock_fund_lend__winsor_top2__impute0","denom_7","stock_fund_lend","winsor_top2","unweighted","(3)","No",-0.003,-0.00178719670203279,0.00165834578542854,0.281185013677646,15598,0.00121280329796721,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt+lend_amt",0,1,1,0,0,0.0024401441511926,0.00122734085322539,15598,18
