"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_27__stock_fund__winsor_top2__unweighted","denom_27","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",0,1,0,1,1,0.005,0.003,14686,369
"denom_27__stock_fund__winsor_top2__unweighted","denom_27","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",0,1,0,1,1,0.005,0.003,14686,369
"denom_28__stock_fund__winsor_top2__unweighted","denom_28","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",1,1,0,1,1,0.005,0.003,14686,370
"denom_28__stock_fund__winsor_top2__unweighted","denom_28","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",1,1,0,1,1,0.005,0.003,14686,370
"denom_29__stock_fund__winsor_top2__unweighted","denom_29","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",0,0,1,1,1,0.005,0.003,14686,371
"denom_29__stock_fund__winsor_top2__unweighted","denom_29","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",0,0,1,1,1,0.005,0.003,14686,371
"denom_2__stock_fund__winsor_top2__unweighted","denom_2","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt",1,0,0,0,0,0.005,0.003,14686,372
"denom_2__stock_fund__winsor_top2__unweighted","denom_2","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt","stock_amt+fund_amt",1,0,0,0,0,0.005,0.003,14686,372
"denom_30__stock_fund__winsor_top2__unweighted","denom_30","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",1,0,1,1,1,0.005,0.003,14686,373
"denom_30__stock_fund__winsor_top2__unweighted","denom_30","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",1,0,1,1,1,0.005,0.003,14686,373
"denom_31__stock_fund__winsor_top2__unweighted","denom_31","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt+jizikuan_amt+unpaid_salary_amt","stock_amt+fund_amt",0,1,1,1,1,0.005,0.003,14686,374
